Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n5;n1;-;2;5;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n20;-;b28;4;8;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n1;-;n3;3;11;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n8;-;b8;4;12;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n40;-;b40;5;6;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n41;n40;-;4;4;Kraków;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n77;-;b47;3;6;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n77;n47;-;3;9;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n41;-;-;4;8;Kraków;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n14;-;b5;6;15;Dallas;;;;;;;
11;Apple;14;Non-Standalone (NSA);n20;n8;-;4;10;Pekin;;;;;;;
12;Samsung;S22;Standalone (SA);n14;-;b3;5;12;Dallas;;;;;;;
13;Oppo;4x;Non-Standalone (NSA);n1;n5;-;7;14;Ulm;;;;;;;
14;Vivo;5s;Standalone (SA);n1;-;-;2;14;Pary¿;;;;;;;
15;OnePlus;9;Non-Standalone (NSA);n3;n20;-;7;21;Kraków;;;;;;;
16;Zenfone;ZX;Non-Standalone (NSA);n14;-;b14;4;32;Warszawa;;;;;;;
17;Xiaomi;12pro;Standalone (SA);n20;-;b20;4;16;Dallas;;;;;;;
18;OnePlus;7;Non-Standalone (NSA);n41;-;b14;2;21;Warszawa;;;;;;;
19;Samsung;21;Standalone (SA);n40;n78;-;7;18;Ulm;;;;;;;
20;Vivo;x60;Non-Standalone (NSA);n77;n78;-;4;24;Kraków;;;;;;;
21;Apple;12pro;Non-Standalone (NSA);n47;-;b47;5;19;Londyn;;;;;;;
22;Samsung;Ultra;Standalone (SA);n5;-;b8;3;13;Pary¿;;;;;;;
23;Apple;13mini;Non-Standalone (NSA);n3;-;b3;4;6;Ulm;;;;;;;
24;Apple;11pro;Standalone (SA);n3;n8;-;3;8;Pekin;;;;;;;
25;Oppo;A94;Non-Standalone (NSA);n28;n20;-;2;4;Kraków;;;;;;;
26;Xiaomi;12pro;Non-Standalone (NSA);n28;n8;b28;4;12;Dallas;;;;;;;
27;OnePlus;7;Non-Standalone (NSA);n8;-;b3;5;6;Ulm;;;;;;;
28;Samsung;21;Non-Standalone (NSA);n5;n1;-;6;4;Pary¿;;;;;;;
29;Vivo;x60;Standalone (SA);n8;-;-;7;6;Kraków;;;;;;;
30;Apple;12pro;Non-Standalone (NSA);n40;-;-;4;9;Warszawa;;;;;;;
31;Samsung;Ultra;Standalone (SA);n8;n28;b8;5;8;Dallas;;;;;;;
32;Apple;13mini;Standalone (SA);n8;n5;-;3;15;Warszawa;;;;;;;
33;Samsung;S22;Standalone (SA);n1;n5;b3;4;10;Pekin;;;;;;;
34;Oppo;4x;Standalone (SA);n3;-;b3;2;22;Dallas;;;;;;;
35;Vivo;5s;Non-Standalone (NSA);n1;n14;-;3;26;Kraków;;;;;;;
36;OnePlus;9;Standalone (SA);n40;n41;-;7;18;Pekin;;;;;;;
37;Zenfone;ZX;Non-Standalone (NSA);n3;n8;b8;4;10;Ulm;;;;;;;
38;Xiaomi;12pro;Standalone (SA);n78;n78;-;5;12;Ulm;;;;;;;
39;OnePlus;7;Non-Standalone (NSA);n77;-;b77;4;9;Pary¿;;;;;;;
40;Samsung;21;Standalone (SA);n1;n3;b3;2;38;Kraków;;;;;;;
41;Samsung;Ultra;Standalone (SA);n5;n20;-;6;41;Kraków;;;;;;;
42;Apple;13mini;Standalone (SA);n1;n28;b28;8;18;Pekin;;;;;;;
43;Apple;11pro;Non-Standalone (NSA);n5;n14;-;4;22;Ulm;;;;;;;
44;Oppo;A94;Non-Standalone (NSA);n40;-;b40;6;31;Kraków;;;;;;;
45;Xiaomi;12pro;Standalone (SA);n41;n47;-;4;20;Dallas;;;;;;;
46;OnePlus;7;Standalone (SA);n28;-;b28;6;25;Pekin;;;;;;;
47;Samsung;21;Standalone (SA);n1;-;b1;5;30;Dallas;;;;;;;
48;Xiaomi;12pro;Non-Standalone (NSA);n1;n5;-;7;28;Ulm;;;;;;;
49;OnePlus;7;Standalone (SA);n20;n28;b20;8;16;Pary¿;;;;;;;
50;Samsung;21;Standalone (SA);n41;n40;-;4;14;Pekin;;;;;;;
