Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n1;n5;b3;3;6;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n8;-;b28;5;11;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n20;-;-;4;13;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n40;n78;b47;8;16;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n41;n77;-;5;12;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n78;-;-;4;8;Kraków;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n14;-;b5;4;10;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n3;n28;-;6;16;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n77;-;b77;8;9;Kraków;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n28;-;b1;4;21;Dallas;;;;;;;
11;Apple;14;Non-Standalone (NSA);n5;-;b1;3;5;Pekin;;;;;;;
12;Samsung;S22;Standalone (SA);n41;-;-;4;9;Dallas;;;;;;;
13;Oppo;4x;Non-Standalone (NSA);n20;n28;b14;5;15;Ulm;;;;;;;
14;Vivo;5s;Standalone (SA);n78;n77;-;7;14;Pary¿;;;;;;;
15;OnePlus;9;Non-Standalone (NSA);n3;n5;b3;2;12;Kraków;;;;;;;
16;Zenfone;ZX;Non-Standalone (NSA);n8;n14;b8;3;19;Warszawa;;;;;;;
17;Xiaomi;12pro;Standalone (SA);n47;-;-;4;22;Dallas;;;;;;;
18;OnePlus;7;Non-Standalone (NSA);n40;-;b40;3;24;Warszawa;;;;;;;
19;Samsung;21;Standalone (SA);n28;n1;-;6;27;Ulm;;;;;;;
20;Vivo;x60;Non-Standalone (NSA);n5;-;b14;5;18;Kraków;;;;;;;
21;Apple;12pro;Non-Standalone (NSA);n8;n1;b28;2;12;Londyn;;;;;;;
22;Samsung;Ultra;Standalone (SA);n78;-;-;4;8;Pary¿;;;;;;;
23;Apple;13mini;Non-Standalone (NSA);n40;-;b40;4;17;Ulm;;;;;;;
24;Apple;11pro;Standalone (SA);n41;n47;-;8;30;Pekin;;;;;;;
25;Oppo;A94;Non-Standalone (NSA);n28;-;b28;3;11;Kraków;;;;;;;
26;Xiaomi;12pro;Non-Standalone (NSA);n1;-;b1;5;25;Dallas;;;;;;;
27;OnePlus;7;Non-Standalone (NSA);n8;n14;b14;3;21;Ulm;;;;;;;
28;Samsung;21;Non-Standalone (NSA);n5;-;b3;8;31;Pary¿;;;;;;;
29;Vivo;x60;Standalone (SA);n5;n8;-;7;28;Kraków;;;;;;;
30;Apple;12pro;Non-Standalone (NSA);n3;-;b1;6;33;Warszawa;;;;;;;
31;Samsung;Ultra;Standalone (SA);n41;-;-;2;21;Dallas;;;;;;;
32;Apple;13mini;Standalone (SA);n41;n77;-;3;19;Warszawa;;;;;;;
33;Samsung;S22;Standalone (SA);n77;-;-;4;25;Pekin;;;;;;;
34;Oppo;4x;Standalone (SA);n78;-;-;4;37;Dallas;;;;;;;
35;Vivo;5s;Non-Standalone (NSA);n47;n41;b77;5;17;Kraków;;;;;;;
36;OnePlus;9;Standalone (SA);n77;n78;-;2;22;Pekin;;;;;;;
37;Zenfone;ZX;Non-Standalone (NSA);n41;-;b41;3;41;Ulm;;;;;;;
38;Xiaomi;12pro;Standalone (SA);n8;n28;-;7;27;Ulm;;;;;;;
39;OnePlus;7;Non-Standalone (NSA);n14;-;b14;4;23;Pary¿;;;;;;;
40;Samsung;21;Standalone (SA);n1;n14;-;5;18;Kraków;;;;;;;
41;Samsung;Ultra;Standalone (SA);n8;-;-;2;25;Kraków;;;;;;;
42;Apple;13mini;Standalone (SA);n20;-;-;2;31;Pekin;;;;;;;
43;Apple;11pro;Non-Standalone (NSA);n28;n8;b28;4;26;Ulm;;;;;;;
44;Oppo;A94;Non-Standalone (NSA);n8;-;b3;5;19;Kraków;;;;;;;
45;Xiaomi;12pro;Standalone (SA);n5;n1;-;6;21;Dallas;;;;;;;
46;OnePlus;7;Standalone (SA);n8;-;-;7;34;Pekin;;;;;;;
47;Samsung;21;Standalone (SA);n40;-;-;4;29;Dallas;;;;;;;
48;Xiaomi;12pro;Non-Standalone (NSA);n41;n40;b41;3;31;Ulm;;;;;;;
49;OnePlus;7;Standalone (SA);n41;n47;-;5;17;Pary¿;;;;;;;
50;Samsung;21;Standalone (SA);n14;n20;-;6;14;Pekin;;;;;;;
51;Samsung;S22;Standalone (SA);n8;n14;-;3;42;Dallas;;;;;;;
52;Oppo;4x;Standalone (SA);n3;-;b1;4;40;Kraków;;;;;;;
53;Vivo;5s;Standalone (SA);n1;n5;-;5;38;Pekin;;;;;;;
54;OnePlus;9;Standalone (SA);n8;n28;b28;2;25;Ulm;;;;;;;
55;Zenfone;ZX;Standalone (SA);n20;n28;-;3;31;Ulm;;;;;;;
56;Xiaomi;12pro;Standalone (SA);n14;-;b14;6;19;Pary¿;;;;;;;
57;OnePlus;7;Standalone (SA);n8;n28;b8;5;17;Kraków;;;;;;;
58;Samsung;21;Standalone (SA);n8;n5;-;3;21;Kraków;;;;;;;
59;Samsung;Ultra;Standalone (SA);n1;n5;b3;4;22;Pekin;;;;;;;
60;Apple;13mini;Standalone (SA);n3;-;b3;2;36;Ulm;;;;;;;
61;Apple;11pro;Standalone (SA);n1;n14;-;3;18;Kraków;;;;;;;
62;Oppo;A94;Standalone (SA);n40;n41;-;7;20;Dallas;;;;;;;
63;Xiaomi;12pro;Standalone (SA);n3;n8;b8;4;10;Pekin;;;;;;;
64;OnePlus;7;Standalone (SA);n78;n78;-;5;12;Dallas;;;;;;;
65;Samsung;S23;Standalone (SA);n40;-;b40;2;9;Dallas;;;;;;;
66;Oppo;4x;Standalone (SA);n41;n47;-;2;11;Kraków;;;;;;;
67;Vivo;5s;Standalone (SA);n77;-;b77;4;13;Pekin;;;;;;;
68;OnePlus;10;Standalone (SA);n78;n78;b77;5;24;Ulm;;;;;;;
69;Zenfone;ZX;Standalone (SA);n47;n41;-;6;28;Ulm;;;;;;;
70;Xiaomi;12pro;Standalone (SA);n41;n78;b41;7;46;Pary¿;;;;;;;
71;OnePlus;35;Standalone (SA);n5;n8;-;4;38;Kraków;;;;;;;
72;Samsung;49;Standalone (SA);n20;n28;-;3;48;Kraków;;;;;;;
73;Samsung;Ultra;Standalone (SA);n1;-;b1;4;46;Pekin;;;;;;;
74;Apple;13mini;Standalone (SA);n3;-;b3;5;36;Ulm;;;;;;;
75;Apple;11pro;Standalone (SA);n8;n14;-;2;31;Kraków;;;;;;;
76;Oppo;A95;Standalone (SA);n14;n20;b14;3;25;Dallas;;;;;;;
77;Xiaomi;12pro;Standalone (SA);n8;n28;b28;6;28;Pekin;;;;;;;
78;OnePlus;8;Standalone (SA);n78;-;-;5;31;Dallas;;;;;;;
79;Samsung;S24;Standalone (SA);n40;-;b40;3;24;Dallas;;;;;;;
80;Oppo;4x;Standalone (SA);n40;-;-;4;16;Kraków;;;;;;;
81;Vivo;5s;Standalone (SA);n41;-;b41;3;18;Pekin;;;;;;;
82;OnePlus;11;Standalone (SA);n28;n20;-;4;15;Ulm;;;;;;;
83;Zenfone;ZX;Standalone (SA);n8;-;b28;4;23;Ulm;;;;;;;
84;Xiaomi;12pro;Standalone (SA);n28;n8;b1;5;14;Pary¿;;;;;;;
85;OnePlus;63;Standalone (SA);n77;-;b47;2;12;Kraków;;;;;;;
86;Samsung;77;Standalone (SA);n40;n41;-;3;10;Kraków;;;;;;;
87;Samsung;Ultra;Standalone (SA);n78;-;b77;7;28;Pekin;;;;;;;
88;Apple;13mini;Standalone (SA);n8;-;b5;4;42;Ulm;;;;;;;
89;Apple;11pro;Standalone (SA);n5;n8;b5;5;35;Kraków;;;;;;;
90;Oppo;A96;Standalone (SA);n5;-;b14;3;17;Dallas;;;;;;;
91;Xiaomi;12pro;Standalone (SA);n8;n28;b28;6;30;Pekin;;;;;;;
