Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testow
1;OnePlus;9s;Non-Standalone (NSA);n1;n5;-;3;6;Ulm
2;Apple;13;Non-Standalone (NSA);n14;-;b14;4;4;Dallas
3;Oppo;9X;Standalone (SA);n8;n28;-;6;8;Ulm
4;Xiaomi;12 pro;Non-Standalone (NSA);n1;n3;b3;8;12;Pekin
5;OnePlus;7;Standalone (SA);n8;-;b1;4;9;Dallas
6;Samsung;21;Standalone (SA);n41;-;-;2;6;Kraków
7;Vivo;x60;Non-Standalone (NSA);n40;-;b40;3;6;Pekin
8;Apple;12 pro;Standalone (SA);n3;n8;b3;6;8;Ulm
9;Samsung;Ultra;Non-Standalone (NSA);n77;-;-;4;10;Kraków
10;Samsung;S22;Standalone (SA);n41;n47;-;7;13;Pekin
