Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testow
1;OnePlus;9s;Non-Standalone (NSA);n8;n5;-;3;4;Ulm
2;Apple;13;Non-Standalone (NSA);n14;-;b14;5;5;Dallas
3;Oppo;9X;Standalone (SA);n20;n28;b28;3;7;Ulm
4;Xiaomi;12 pro;Non-Standalone (NSA);n1;n3;-;2;9;Pekin
5;OnePlus;7;Standalone (SA);n40;-;b40;3;11;Dallas
6;Samsung;21;Standalone (SA);n41;-;-;6;12;Kraków
7;Vivo;x60;Non-Standalone (NSA);n77;-;b77;4;8;Pekin
8;Apple;12 pro;Standalone (SA);n5;n8;-;5;6;Ulm
9;Samsung;Ultra;Non-Standalone (NSA);n1;-;b1;6;12;Kraków
10;Samsung;S22;Standalone (SA);n41;n47;-;3;10;Pekin
11;OnePlus;9s;Standalone (SA);n8;n1;b8;3;8;Pary?
12;Apple;14;Standalone (SA);n14;n5;-;4;14;Warszawa
13;Oppo;9X;Standalone (SA);n3;-;b3;5;16;Hamburg
14;Xiaomi;13 pro;Standalone (SA);n3;n5;-;6;19;Pekin
15;OnePlus;35;Standalone (SA);n28;-;-;4;21;Ulm
16;Samsung;49;Standalone (SA);n20;-;b20;5;14;Kraków
17;Vivo;x61;Standalone (SA);n40;n41;-;8;15;Pekin
18;Apple;13 pro;Standalone (SA);n77;n78;-;3;9;Pary?
19;Samsung;Ultra;Standalone (SA);n47;-;b40;2;7;Warszawa
20;Samsung;S23;Standalone (SA);n41;-;b41;2;6;Pary?
21;OnePlus;9s;Standalone (SA);n77;n41;-;5;10;Warszawa
22;Apple;15;Standalone (SA);n28;n20;-;6;12;Hamburg
23;Oppo;9X;Standalone (SA);n14;-;b1;3;14;Pekin
24;Xiaomi;14 pro;Standalone (SA);n1;-;b3;4;16;Ulm
25;OnePlus;63;Standalone (SA);n20;-;b28;4;18;Pekin
26;Samsung;77;Standalone (SA);n20;n28;b28;3;21;Ulm
27;Vivo;x62;Standalone (SA);n1;n3;-;5;24;Dallas
28;Apple;14 pro;Standalone (SA);n77;n78;-;6;20;Ulm
29;Samsung;Ultra;Standalone (SA);n47;-;b40;4;10;Pekin
30;Samsung;S24;Standalone (SA);n41;n47;-;6;8;Dallas
31;OnePlus;9s;Standalone (SA);n8;-;b1;8;17;Kraków
32;Apple;16;Standalone (SA);n41;-;-;6;22;Pekin
33;Oppo;9X;Standalone (SA);n40;n41;-;5;24;Ulm
34;Xiaomi;15 pro;Standalone (SA);n47;-;b47;4;15;Kraków
35;OnePlus;91;Standalone (SA);n28;n20;-;2;14;Pekin
36;Samsung;105;Standalone (SA);n14;-;b1;3;12;Pary?
37;Vivo;x63;Standalone (SA);n47;-;b47;2;10;Warszawa
38;Apple;15 pro;Standalone (SA);n20;n28;b28;8;16;Hamburg
39;Samsung;Ultra;Standalone (SA);n77;n78;-;4;28;Pekin
40;Samsung;S25;Standalone (SA);n8;n14;b14;6;31;Ulm
41;OnePlus;9s;Standalone (SA);n5;n8;-;5;25;Kraków
42;Apple;17;Standalone (SA);n14;n20;b14;6;27;Pekin
43;Oppo;9X;Standalone (SA);n3;n28;-;3;26;Pary?
44;Xiaomi;16 pro;Standalone (SA);n1;-;-;2;21;Warszawa
45;OnePlus;119;Standalone (SA);n8;n14;-;4;12;Pary?
46;Samsung;133;Standalone (SA);n40;n41;-;5;20;Warszawa
47;Vivo;x64;Standalone (SA);n3;n8;b3;4;14;Hamburg
48;Apple;16 pro;Standalone (SA);n77;-;-;6;18;Pekin
49;Samsung;Ultra;Standalone (SA);n14;-;b14;4;24;Ulm
50;Samsung;S26;Standalone (SA);n8;n28;-;3;32;Pekin
