Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testow
1;OnePlus;9s;Non-Standalone (NSA);n8;n5;-;3;4;Ulm
2;Apple;13;Non-Standalone (NSA);n14;-;b14;5;5;Dallas
3;Oppo;9X;Standalone (SA);n20;n28;b28;3;7;Ulm
4;Xiaomi;12 pro;Non-Standalone (NSA);n1;n3;-;2;9;Pekin
5;OnePlus;7;Standalone (SA);n40;-;b40;3;11;Dallas
6;Samsung;21;Standalone (SA);n41;-;-;6;12;Kraków
7;Vivo;x60;Non-Standalone (NSA);n77;-;b77;4;8;Pekin
8;Apple;12 pro;Standalone (SA);n5;n8;-;5;6;Ulm
9;Samsung;Ultra;Non-Standalone (NSA);n1;-;b1;6;12;Kraków
10;Samsung;S22;Standalone (SA);n41;n47;-;3;10;Pekin
11;;;Standalone (SA);n8;n1;b8;3;8;Pary?
12;;;Standalone (SA);n14;n5;-;4;14;Warszawa
13;;;Standalone (SA);n3;-;b3;5;16;Hamburg
14;;;Standalone (SA);n3;n5;-;6;19;Pekin
15;;;Standalone (SA);n28;-;-;4;21;Ulm
16;;;Standalone (SA);n20;-;b20;5;14;Kraków
17;;;Standalone (SA);n40;n41;-;8;15;Pekin
18;;;Standalone (SA);n77;n78;-;3;9;Pary?
19;;;Standalone (SA);n47;-;b40;2;7;Warszawa
20;;;Standalone (SA);n41;-;b41;2;6;Pary?
21;;;Standalone (SA);n77;n41;-;5;10;Warszawa
22;;;Standalone (SA);n28;n20;-;6;12;Hamburg
23;;;Standalone (SA);n14;-;b1;3;14;Pekin
24;;;Standalone (SA);n1;-;b3;4;16;Ulm
25;;;Standalone (SA);n20;-;b28;4;18;Pekin
