Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
1;OnePlus;9s;Standalone (SA);n5;n1;-;2;5;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n20;-;b28;4;8;Dallas;;;;;;;
3;Oppo;9X;Non-Standalone (NSA);n1;-;n3;3;11;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n8;-;b8;4;12;Pekin;;;;;;;
5;OnePlus;7;Non-Standalone (NSA);n40;-;b40;5;6;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n41;n40;-;4;4;Kraków;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n77;-;b47;3;6;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n77;n47;-;3;9;Ulm;;;;;;;
9;Samsung;Ultra;Standalone (SA);n41;-;-;4;8;Kraków;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n14;-;b5;6;15;Dallas;;;;;;;
11;OnePlus;9s;Standalone (SA);n20;n8;-;4;10;Ulm;;;;;;;
12;Apple;13;Non-Standalone (NSA);n14;-;b3;5;12;Pekin;;;;;;;
13;Oppo;9X;Standalone (SA);n1;n5;-;7;14;Dallas;;;;;;;
14;Xiaomi;12pro;Standalone (SA);n1;-;-;2;14;Kraków;;;;;;;
15;OnePlus;7;Standalone (SA);n3;n20;-;7;21;Pekin;;;;;;;
16;Apple;12pro;Non-Standalone (NSA);n14;-;b14;4;32;Ulm;;;;;;;
17;Samsung;Ultra;Non-Standalone (NSA);n20;-;b20;4;16;Kraków;;;;;;;
18;Apple;13mini;Non-Standalone (NSA);n41;-;b14;2;21;Ulm;;;;;;;
19;OnePlus;9s;Standalone (SA);n40;n78;-;7;18;Kraków;;;;;;;
20;Apple;13;Standalone (SA);n77;n78;-;4;24;Dallas;;;;;;;
21;Samsung;21;Non-Standalone (NSA);n47;-;b47;5;19;Ulm;;;;;;;
22;Vivo;x60;Non-Standalone (NSA);n5;-;b8;3;13;Pekin;;;;;;;
23;Apple;12pro;Non-Standalone (NSA);n3;-;b3;4;6;Dallas;;;;;;;
24;Samsung;Ultra;Standalone (SA);n3;n8;-;3;8;Kraków;;;;;;;
25;Apple;13mini;Standalone (SA);n28;n20;-;2;4;Pekin;;;;;;;
