Numer zamówienia;Zleceniodawca;Model telefonu;Rodzaj sesji (wykorzystywana technologia radiowa);Badane pasmo 5G;Dodatkowe pasmo 5G;Badane pasmo 4G;D³ugoœæ trwania sesji (badania poszczególnych  funkcji) [tyg];Po¿¹dany tydzieñ zakoñczenia sesji [tyg];Alternatywna lokalizacja testów;;;;;;;Dodatkowe5G
1;OnePlus;9s;Non-Standalone (NSA);n5;n1;-;2;5;Ulm;;;;;;;
2;Apple;13;Non-Standalone (NSA);n20;-;b28;4;8;Dallas;;;;;;;
3;Oppo;9X;Standalone (SA);n1;-;n3;3;15;Ulm;;;;;;;
4;Xiaomi;12pro;Non-Standalone (NSA);n8;-;b8;4;12;Pekin;;;;;;;
5;OnePlus;7;Standalone (SA);n40;-;b40;5;6;Dallas;;;;;;;
6;Samsung;21;Standalone (SA);n41;n40;-;4;4;Kraków;;;;;;;
7;Vivo;x60;Non-Standalone (NSA);n77;-;b47;3;6;Pekin;;;;;;;
8;Apple;12pro;Standalone (SA);n77;n47;-;3;9;Ulm;;;;;;;
9;Samsung;Ultra;Non-Standalone (NSA);n41;-;-;4;12;Kraków;;;;;;;
10;Apple;13mini;Non-Standalone (NSA);n14;-;b5;6;15;Dallas;;;;;;;
11;Apple;14;Non-Standalone (NSA);n20;n8;-;4;25;Pekin;;;;;;;
12;Samsung;S22;Standalone (SA);n14;-;b3;5;12;Dallas;;;;;;;
13;Oppo;4x;Non-Standalone (NSA);n1;n5;-;2;14;Ulm;;;;;;;
14;Vivo;5s;Standalone (SA);n1;-;-;2;14;Pary¿;;;;;;;
15;OnePlus;9;Non-Standalone (NSA);n3;n20;-;6;25;Kraków;;;;;;;
16;Zenfone;ZX;Non-Standalone (NSA);n14;-;b14;4;32;Warszawa;;;;;;;
17;Xiaomi;12pro;Standalone (SA);n20;-;b20;4;16;Dallas;;;;;;;
18;OnePlus;7;Non-Standalone (NSA);n41;-;b14;2;21;Warszawa;;;;;;;
19;Samsung;21;Standalone (SA);n40;n78;-;4;18;Ulm;;;;;;;
20;Vivo;x60;Non-Standalone (NSA);n77;n78;-;4;24;Kraków;;;;;;;
21;Apple;12pro;Non-Standalone (NSA);n47;-;b47;5;19;Londyn;;;;;;;
22;Samsung;Ultra;Standalone (SA);n5;-;b8;3;21;Pary¿;;;;;;;
23;Apple;13mini;Non-Standalone (NSA);n3;-;b3;4;6;Ulm;;;;;;;
24;Apple;11pro;Standalone (SA);n3;n8;-;3;8;Pekin;;;;;;;
25;Oppo;A94;Non-Standalone (NSA);n28;n20;-;2;6;Kraków;;;;;;;
26;Xiaomi;12pro;Non-Standalone (NSA);n28;n8;b28;2;12;Dallas;;;;;;;
27;OnePlus;7;Non-Standalone (NSA);n8;-;b3;5;52;Ulm;;;;;;;
28;Samsung;21;Non-Standalone (NSA);n5;n1;-;6;4;Pary¿;;;;;;;
29;Vivo;x60;Standalone (SA);n8;-;-;5;6;Kraków;;;;;;;
30;Apple;12pro;Non-Standalone (NSA);n40;-;-;4;13;Warszawa;;;;;;;
31;Samsung;Ultra;Standalone (SA);n8;n28;b8;5;28;Dallas;;;;;;;
32;Apple;13mini;Standalone (SA);n8;n5;-;3;15;Warszawa;;;;;;;
33;Samsung;S22;Standalone (SA);n1;n5;b3;4;10;Pekin;;;;;;;
34;Oppo;4x;Standalone (SA);n3;-;b3;2;22;Dallas;;;;;;;
35;Vivo;5s;Non-Standalone (NSA);n1;n14;-;3;26;Kraków;;;;;;;
36;OnePlus;9;Standalone (SA);n40;n41;-;6;42;Pekin;;;;;;;
37;Zenfone;ZX;Non-Standalone (NSA);n3;n8;b8;4;10;Ulm;;;;;;;
38;Xiaomi;12pro;Standalone (SA);n78;n78;-;5;18;Ulm;;;;;;;
39;OnePlus;7;Non-Standalone (NSA);n77;-;b77;4;9;Pary¿;;;;;;;
40;Samsung;21;Standalone (SA);n1;n3;b3;2;38;Kraków;;;;;;;
41;Samsung;Ultra;Standalone (SA);n5;n20;-;2;41;Kraków;;;;;;;
42;Apple;13mini;Standalone (SA);n1;n28;b28;3;18;Pekin;;;;;;;
43;Apple;11pro;Non-Standalone (NSA);n5;n14;-;4;22;Ulm;;;;;;;
44;Oppo;A94;Non-Standalone (NSA);n40;-;b40;6;31;Kraków;;;;;;;
45;Xiaomi;12pro;Standalone (SA);n41;n47;-;4;20;Dallas;;;;;;;
46;OnePlus;7;Standalone (SA);n28;-;b28;6;25;Pekin;;;;;;;
47;Samsung;21;Standalone (SA);n1;-;b1;5;30;Dallas;;;;;;;
48;Xiaomi;12pro;Non-Standalone (NSA);n1;n5;-;4;45;Ulm;;;;;;;
49;OnePlus;7;Standalone (SA);n20;n28;b20;8;16;Pary¿;;;;;;;
50;Samsung;21;Standalone (SA);n41;n40;-;4;14;Pekin;;;;;;;
51;Samsung;Ultra;Standalone (SA);n8;n14;b8;3;31;Ulm;;;;;;;
52;Apple;13mini;Standalone (SA);n47;-;-;4;48;Pary¿;;;;;;;
53;Samsung;S22;Standalone (SA);n40;-;b40;3;28;Kraków;;;;;;;
54;Oppo;4x;Standalone (SA);n28;n1;-;2;27;Warszawa;;;;;;;
55;Vivo;5s;Standalone (SA);n5;-;b14;5;21;Dallas;;;;;;;
56;OnePlus;9;Standalone (SA);n41;-;b41;3;19;Warszawa;;;;;;;
57;Zenfone;ZX;Standalone (SA);n28;n20;-;4;34;Pekin;;;;;;;
58;Xiaomi;12pro;Standalone (SA);n8;-;b28;4;29;Dallas;;;;;;;
59;OnePlus;7;Standalone (SA);n28;n8;b1;5;21;Kraków;;;;;;;
60;Samsung;21;Standalone (SA);n41;n47;-;5;42;Pekin;;;;;;;
61;Samsung;Ultra;Standalone (SA);n14;n20;-;6;45;Ulm;;;;;;;
62;Apple;13mini;Standalone (SA);n8;n14;-;3;34;Ulm;;;;;;;
63;Apple;11pro;Standalone (SA);n3;-;b1;4;13;Pary¿;;;;;;;
64;Samsung;Ultra;Standalone (SA);n1;n5;-;5;10;Kraków;;;;;;;
65;Apple;13mini;Standalone (SA);n5;n20;-;2;15;Ulm;;;;;;;
66;Samsung;S22;Standalone (SA);n1;n28;b28;3;48;Pary¿;;;;;;;
67;Oppo;4x;Standalone (SA);n40;n78;b47;8;20;Kraków;;;;;;;
68;Vivo;5s;Standalone (SA);n41;n77;-;5;15;Warszawa;;;;;;;
69;OnePlus;9;Standalone (SA);n78;-;-;4;30;Dallas;;;;;;;
70;Zenfone;ZX;Standalone (SA);n14;-;b5;4;34;Warszawa;;;;;;;
71;Xiaomi;12pro;Standalone (SA);n3;n28;-;6;25;Pekin;;;;;;;
72;OnePlus;7;Standalone (SA);n5;-;b14;5;28;Dallas;;;;;;;
73;Samsung;21;Standalone (SA);n8;n28;b28;2;16;Kraków;;;;;;;
74;Samsung;Ultra;Standalone (SA);n78;-;-;4;12;Pekin;;;;;;;
75;Apple;13mini;Standalone (SA);n40;-;b40;4;8;Ulm;;;;;;;
76;Apple;11pro;Standalone (SA);n41;n47;-;5;12;Ulm;;;;;;;
77;Xiaomi;12pro;Standalone (SA);n20;-;-;3;45;Pary¿;;;;;;;
78;OnePlus;7;Standalone (SA);n14;n8;b8;2;14;Kraków;;;;;;;
79;Samsung;21;Standalone (SA);n8;-;b8;5;12;Ulm;;;;;;;
80;Samsung;Ultra;Standalone (SA);n3;-;-;6;15;Pary¿;;;;;;;
81;Apple;13mini;Standalone (SA);n5;n3;b8;6;19;Kraków;;;;;;;
82;Apple;11pro;Standalone (SA);n8;-;b5;4;51;Warszawa;;;;;;;
83;Samsung;Ultra;Standalone (SA);b28;-;b14;2;46;Dallas;;;;;;;
84;Apple;13mini;Standalone (SA);n14;n28;-;3;15;Warszawa;;;;;;;
85;Samsung;S22;Standalone (SA);n20;n3;-;4;28;Pekin;;;;;;;
86;Oppo;4x;Standalone (SA);n5;n1;b5;5;38;Dallas;;;;;;;
